rank,institution,institution_short,subgroup,year_2021,label_text,hex
1,Harvard University,Harvard,Ivy,53165753,$53B,#A51C30
2,Yale University,Yale,Ivy,42282852,$42B,#00356b
3,The University of Texas System Office,Texas System,Public,40414914,$40B,#BF5700
4,Stanford University,Stanford,Private,37788187,$38B,#8C1515
5,Princeton University,Princeton,Ivy,37026442,$37B,#E77500
6,Massachusetts Institute of Technology,MIT,Private,27394039,$27B,#750014
7,University of Pennsylvania,Penn,Ivy,20523546,$21B,#011F5B
8,University of Notre Dame,Notre Dame,Private,18385354,$18B,#ae9142
9,Texas A & M University–College Station,Texas A & M,Public,16895504,$17B,#500000
10,University of Michigan–Ann Arbor,Michigan,Public,16795776,$17B,#00274C
11,University of California–System Administration Central Office,California System,Public,16463910,$16B,#1295D8
12,Columbia University in the City of New York,Columbia,Ivy,14349970,$14B,#9BCBEB
13,Washington University in St Louis,Washington (St. Louis),Private,13668081,$14B,#a51417
14,Duke University,Duke,Private,12692472,$13B,#003087
15,Emory University,Emory,Private,12218693,$12B,#012169
16,Northwestern University,Northwestern,Private,11361182,$11B,#4E2A84
17,Vanderbilt University,Vanderbilt,Private,10928512,$11B,#866D4B
18,University of Virginia–Main Campus,Virginia,Public,10366578,$10B,#F84C1E
19,University of Chicago,Chicago,Private,9594956,$10B,#800000
20,Cornell University,Cornell,Ivy,9474388,$9B,#B31B1B
